Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA
SP1,2001-11-17,La Coruna,Sociedad,3,1,H,1,1,D,1.31,4.25,8.5,1.35,4.0,7.0,1.36,3.75,8.0,1.33,4.0,8.5,1.3,4.33,8.0,1.3,4.5,7.5
SP1,2001-11-17,Las Palmas,Barcelona,0,0,D,0,0,D,3.3,3.2,2.0,3.2,2.9,2.1,3.2,3.0,2.1,3.3,3.1,2.0,3.2,3.2,2.0,2.8,3.1,2.25
SP1,2001-11-17,Real Madrid,Sevilla,2,1,H,1,0,H,1.3,4.5,8.0,1.4,3.7,6.4,1.33,4.0,8.0,1.3,4.33,8.0,1.3,4.33,8.0,1.33,4.0,8.0
SP1,2001-11-18,Alaves,Celta,1,0,H,1,0,H,2.0,3.2,3.3,2.0,2.9,3.4,2.0,3.2,3.2,2.0,3.1,3.3,2.1,3.0,3.2,2.0,3.1,3.3
SP1,2001-11-18,Ath Bilbao,Villarreal,0,0,D,0,0,D,2.0,3.2,3.3,1.8,3.1,3.8,1.91,3.2,3.5,2.0,3.1,3.3,1.91,3.2,3.5,1.9,3.2,3.5
SP1,2001-11-18,Betis,Vallecano,2,0,H,0,0,D,1.64,3.45,4.6,1.7,3.2,4.2,1.73,3.2,4.33,1.67,3.3,4.5,1.67,3.25,4.5,1.72,3.2,4.33
SP1,2001-11-18,Espanol,Mallorca,2,1,H,1,1,D,2.15,3.15,3.0,2.2,2.9,3.0,2.2,3.2,2.8,2.25,3.1,2.8,2.2,3.2,2.8,2.2,3.1,2.87
SP1,2001-11-18,Malaga,Osasuna,2,1,H,2,0,H,2.0,3.2,3.3,1.85,3.1,3.6,1.91,3.2,3.5,2.0,3.1,3.3,1.91,3.2,3.5,,,
SP1,2001-11-18,Valencia,Tenerife,0,0,D,0,0,D,1.3,4.25,8.5,1.3,4.2,8.0,1.36,3.75,8.0,1.3,4.33,8.0,1.29,4.5,8.0,1.3,4.33,8.0
SP1,2001-11-18,Valladolid,Zaragoza,2,0,H,1,0,H,2.2,3.1,2.95,2.1,2.9,3.2,2.2,3.2,2.8,2.15,3.2,2.9,2.25,3.1,2.8,2.1,3.1,3.1
SP1,2001-11-24,Barcelona,Ath Bilbao,1,2,A,0,1,A,1.43,3.75,6.4,1.4,3.9,6.0,1.44,3.6,6.5,1.44,3.75,6.5,1.44,3.6,6.5,1.44,3.6,6.5
SP1,2001-11-25,Celta,Espanol,4,1,H,2,1,H,1.7,3.3,4.45,1.6,3.4,4.6,1.73,3.2,4.33,1.73,3.25,4.33,1.73,3.2,4.33,1.72,3.25,4.2
