Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA
F1,2000-11-29,Auxerre,Metz,1,0,H,0,0,D,1.9,3.05,3.8,1.9,2.8,3.3,,,,1.8,3.1,4.0,1.72,3.25,4.2
F1,2000-11-29,Bordeaux,Bastia,0,0,D,0,0,D,1.55,3.4,5.7,1.4,3.6,5.5,,,,1.5,3.4,6.0,1.5,3.6,5.5
F1,2000-11-29,Lille,Strasbourg,1,1,D,1,1,D,1.6,3.4,5.0,1.5,3.4,4.7,,,,1.6,3.4,4.8,1.55,3.5,5.2
F1,2000-11-29,Lyon,Sedan,2,2,D,0,0,D,1.95,3.0,3.7,1.9,2.8,3.3,,,,1.9,3.0,3.75,1.8,3.25,3.8
F1,2000-11-29,Marseille,St Etienne,2,1,H,0,0,D,1.85,3.2,3.7,1.8,2.9,3.6,,,,1.85,3.1,3.75,1.9,3.2,3.5
F1,2000-11-29,Nantes,Monaco,3,1,H,1,0,H,2.2,3.1,2.9,2.2,2.9,2.7,,,,2.1,3.1,3.1,1.85,3.25,3.6
F1,2000-11-29,Toulouse,Troyes,2,1,H,1,1,D,2.2,3.1,2.95,2.1,2.9,2.9,,,,2.15,3.1,3.0,2.1,3.2,3.0
F1,2000-12-02,Bastia,Auxerre,3,1,H,1,0,H,2.0,3.05,3.45,1.9,2.9,3.2,,,,2.0,3.0,3.4,1.85,3.2,3.65
F1,2000-12-02,Metz,Lyon,0,0,D,0,0,D,2.4,3.05,2.7,2.3,2.7,2.7,,,,2.4,3.0,2.7,2.35,3.0,2.75
F1,2000-12-02,Monaco,Strasbourg,1,0,H,0,0,D,1.45,3.55,6.55,1.4,3.6,5.5,,,,1.44,3.6,6.5,1.45,3.6,6.5
F1,2000-12-02,Nantes,Guingamp,2,1,H,1,1,D,1.85,3.15,3.8,1.8,2.9,3.6,,,,1.8,3.2,4.0,1.75,3.3,4.0
F1,2000-12-02,Rennes,Lille,2,0,H,1,0,H,2.25,3.0,2.9,2.2,2.7,2.9,,,,2.25,3.0,2.88,2.2,3.0,3.0
F1,2000-12-02,Sedan,Paris SG,5,1,H,1,1,D,2.3,3.0,2.85,2.1,2.8,3.0,,,,2.2,3.0,3.0,2.1,3.2,3.0
F1,2000-12-02,St Etienne,Toulouse,1,0,H,0,0,D,1.61,3.3,5.0,1.6,3.2,4.2,,,,1.6,3.3,5.0,1.6,3.3,5.0
F1,2000-12-02,Troyes,Bordeaux,1,0,H,0,0,D,2.8,3.0,2.35,2.9,2.9,2.1,,,,2.75,3.0,2.38,2.62,3.1,2.37
F1,2000-12-03,Lens,Marseille,1,0,H,0,0,D,1.8,3.1,4.1,1.8,2.9,3.6,,,,1.75,3.2,4.2,1.72,3.2,4.33
F1,2000-12-09,Auxerre,Troyes,2,2,D,1,0,H,1.85,3.1,3.95,1.75,3.1,3.6,,,,1.75,3.25,4.0,1.8,3.25,3.8
F1,2000-12-09,Guingamp,Monaco,2,2,D,2,0,H,2.4,3.05,2.7,2.3,2.8,2.6,,,,2.3,3.1,2.75,2.5,3.1,2.5
F1,2000-12-09,Lille,Sedan,2,0,H,1,0,H,2.1,3.0,3.3,2.2,2.7,2.9,,,,2.1,3.1,3.1,2.2,3.0,3.0
F1,2000-12-09,Lyon,Bastia,1,0,H,1,0,H,1.85,3.2,3.75,1.9,2.8,3.3,,,,1.8,3.1,4.0,1.72,3.1,4.5
F1,2000-12-09,Paris SG,Metz,1,0,H,0,0,D,1.55,3.4,5.4,1.45,3.5,5.0,,,,1.53,3.4,5.5,1.53,3.6,5.0
F1,2000-12-09,Strasbourg,Rennes,1,1,D,0,1,A,2.3,3.15,2.75,2.3,2.9,2.5,,,,2.3,3.0,2.8,2.3,3.1,2.75
F1,2000-12-09,Toulouse,Lens,1,0,H,0,0,D,2.5,3.0,2.6,2.4,2.9,2.4,,,,2.6,3.0,2.5,2.5,3.1,2.5
F1,2000-12-10,Bordeaux,St Etienne,2,1,H,1,1,D,1.57,3.3,5.7,1.5,3.2,5.0,,,,1.5,3.4,6.0,1.57,3.25,5.5
F1,2000-12-10,Marseille,Nantes,2,0,H,2,0,H,2.35,3.1,2.7,2.2,2.8,2.8,,,,2.3,3.0,2.8,2.25,3.1,2.8
F1,2000-12-13,Bastia,Nantes,3,1,H,2,0,H,2.2,2.9,3.1,2.1,2.9,2.9,,,,2.2,3.0,3.0,2.0,3.0,3.4
F1,2000-12-13,Lille,Paris SG,2,0,H,1,0,H,2.3,3.0,2.85,2.2,2.8,2.8,,,,2.2,3.1,2.88,2.25,3.0,2.87
F1,2000-12-13,Lyon,Toulouse,4,1,H,1,0,H,1.5,3.4,6.25,1.5,3.2,5.0,,,,1.5,3.4,6.0,1.5,3.4,6.0
F1,2000-12-16,Guingamp,Marseille,1,0,H,1,0,H,2.05,2.8,3.6,1.9,2.8,3.3,,,,2.0,3.0,3.4,2.1,3.0,3.2
F1,2000-12-16,Lens,Bordeaux,2,2,D,0,2,A,2.3,3.15,2.7,2.2,2.7,2.9,,,,2.2,3.0,3.0,2.25,3.0,2.87
F1,2000-12-16,Metz,Lille,1,1,D,1,0,H,2.35,3.1,2.65,2.1,2.8,3.0,,,,2.3,3.0,2.8,2.25,3.0,2.87
F1,2000-12-16,Monaco,Rennes,1,2,A,1,0,H,1.65,3.2,4.9,1.6,3.2,4.2,,,,1.67,3.25,4.5,1.72,3.2,4.33
F1,2000-12-16,Sedan,Strasbourg,1,0,H,1,0,H,1.45,3.6,6.5,1.5,3.2,5.0,,,,1.44,3.6,6.5,1.5,3.6,5.5
F1,2000-12-16,St Etienne,Auxerre,2,0,H,1,0,H,1.9,3.0,3.6,1.9,2.8,3.3,,,,1.91,3.1,3.6,1.8,3.25,3.8
F1,2000-12-16,Troyes,Lyon,1,0,H,1,0,H,2.4,3.0,2.7,2.3,2.7,2.7,,,,2.38,2.9,2.8,2.4,3.1,2.6
F1,2000-12-17,Bastia,Paris SG,1,1,D,0,1,A,2.3,3.1,2.8,2.2,2.8,2.8,,,,2.1,3.2,3.0,2.1,3.2,3.0
F1,2000-12-17,Nantes,Toulouse,3,2,H,0,1,A,1.45,3.6,6.5,1.45,3.5,5.0,,,,1.4,3.75,7.0,1.44,3.4,7.0
F1,2000-12-20,Marseille,Monaco,2,1,H,1,1,D,2.15,3.1,2.8,2.2,2.8,2.8,2.25,3.2,2.75,2.2,3.1,2.9,2.0,3.1,3.3
F1,2000-12-21,Auxerre,Lens,3,2,H,2,1,H,2.0,3.0,3.2,2.1,2.8,3.0,2.25,3.2,2.75,2.0,3.2,3.2,2.1,3.2,3.0
