Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA
I1,2001-12-09,Milan,Juventus,1,1,D,1,0,H,,,,2.3,2.7,3.0,2.25,2.87,3.0,2.2,2.88,3.2,2.25,2.88,3.0,2.25,2.8,3.1
I1,2001-12-09,Parma,Roma,1,2,A,1,0,H,2.87,2.95,2.31,2.6,2.8,2.6,3.0,2.87,2.25,2.9,3.0,2.25,3.0,2.88,2.25,2.87,2.8,2.4
I1,2001-12-09,Perugia,Venezia,2,0,H,1,0,H,1.7,3.2,4.65,1.7,3.2,4.2,1.8,2.87,4.5,1.73,3.1,4.5,1.73,3.1,4.5,1.66,3.1,5.0
I1,2001-12-09,Torino,Atalanta,1,2,A,1,1,D,2.05,3.0,3.4,2.0,2.9,3.4,2.0,2.87,3.6,2.0,3.0,3.5,1.91,3.0,3.75,2.0,2.87,3.6
I1,2001-12-09,Udinese,Verona,2,1,H,0,0,D,2.0,3.0,3.55,2.0,2.9,3.4,1.91,3.0,3.75,1.95,3.0,3.75,1.91,3.1,3.6,2.0,2.87,3.6
I1,2001-12-15,Inter,Chievo,1,2,A,1,1,D,1.48,3.5,6.5,1.5,3.5,5.4,1.44,3.6,6.5,1.44,3.6,7.0,1.44,3.6,6.5,1.44,3.6,6.5
I1,2001-12-16,Atalanta,Parma,4,1,H,2,0,H,2.25,2.9,3.05,2.4,2.9,2.7,2.2,2.8,3.2,2.2,2.88,3.2,2.1,3.0,3.2,2.25,2.87,3.0
I1,2001-12-16,Bologna,Perugia,2,1,H,2,1,H,1.6,3.25,5.45,1.7,3.2,4.2,1.67,2.87,5.5,1.67,3.0,5.5,1.62,3.25,5.0,1.66,2.9,5.5
I1,2001-12-16,Fiorentina,Brescia,1,0,H,0,0,D,2.2,3.0,3.05,2.1,2.9,3.2,2.2,3.0,3.0,2.2,3.0,3.0,2.2,3.1,2.88,2.1,3.0,3.2
I1,2001-12-16,Juventus,Piacenza,2,0,H,1,0,H,1.25,4.6,10.0,1.25,4.5,9.0,1.3,4.0,9.0,1.3,4.2,9.0,1.29,4.33,8.5,1.3,4.0,9.5
I1,2001-12-16,Lecce,Torino,1,1,D,0,0,D,1.9,3.0,3.9,1.9,3.0,3.6,1.91,2.87,4.0,1.91,3.0,3.75,1.91,2.88,4.0,1.9,2.87,4.0
I1,2001-12-16,Roma,Milan,1,0,H,1,0,H,2.03,3.0,3.45,2.0,2.9,3.4,2.0,3.0,3.4,2.05,2.9,3.5,2.0,2.88,3.6,2.1,2.75,3.5
I1,2001-12-16,Venezia,Udinese,2,1,H,1,0,H,2.55,2.95,2.6,2.6,2.8,2.6,2.62,2.87,2.5,2.5,3.0,2.6,2.6,2.9,2.5,2.37,3.1,2.62
I1,2001-12-16,Verona,Lazio,3,1,H,2,0,H,3.2,2.95,2.15,3.0,2.9,2.2,3.2,3.0,2.1,3.2,2.9,2.15,3.1,2.88,2.2,3.1,2.87,2.2
I1,2001-12-19,Atalanta,Milan,1,1,D,1,0,H,3.0,2.95,2.25,3.0,2.9,2.2,3.2,2.8,2.2,3.0,2.9,2.25,3.1,2.88,2.2,3.0,2.8,2.3
I1,2001-12-19,Bologna,Udinese,0,1,A,0,0,D,1.9,3.05,3.85,1.9,3.0,3.6,1.8,3.2,4.0,1.83,3.0,4.2,1.83,3.0,4.0,1.9,2.87,4.0
I1,2001-12-19,Fiorentina,Juventus,1,1,D,0,0,D,3.95,3.1,1.85,3.6,3.1,1.85,3.75,3.0,1.91,4.0,3.1,1.85,3.75,3.0,1.91,4.0,3.0,1.83
I1,2001-12-19,Inter,Verona,3,0,H,1,0,H,1.3,4.35,9.3,1.35,4.0,7.0,1.33,3.75,9.0,1.4,3.75,7.5,1.3,4.33,8.0,1.3,4.0,9.5
I1,2001-12-19,Lecce,Perugia,2,3,A,2,2,D,1.88,3.0,4.0,1.85,2.9,4.0,1.91,3.0,3.75,1.9,2.9,4.0,1.91,3.0,3.75,1.9,2.87,4.0
I1,2001-12-19,Roma,Brescia,0,0,D,0,0,D,1.28,4.45,9.0,1.35,4.0,7.0,1.33,4.0,8.0,1.3,4.2,9.0,1.36,4.0,7.0,1.33,4.0,8.0
I1,2001-12-19,Torino,Parma,1,0,H,1,0,H,2.2,2.9,3.15,2.3,2.8,2.9,2.1,3.0,3.2,2.2,2.88,3.2,2.2,2.88,3.1,2.25,2.87,3.0
I1,2001-12-19,Venezia,Piacenza,2,3,A,1,0,H,2.22,2.95,3.05,2.3,2.7,3.0,2.25,2.87,3.0,2.38,2.88,2.88,2.3,2.88,2.9,2.3,2.9,2.9
I1,2001-12-22,Chievo,Roma,0,3,A,0,1,A,2.6,2.9,2.6,2.6,2.8,2.6,2.62,2.87,2.5,2.6,2.88,2.62,2.62,2.88,2.5,2.5,2.8,2.7
I1,2001-12-22,Lazio,Bologna,2,2,D,2,1,H,1.45,3.7,6.5,1.5,3.5,5.4,1.4,3.75,7.0,1.44,3.6,7.0,1.44,3.6,6.5,1.44,3.5,7.0
I1,2001-12-23,Brescia,Juventus,0,4,A,0,2,A,3.4,2.9,2.1,3.3,2.8,2.1,3.6,2.87,2.0,3.2,2.88,2.2,3.4,2.8,2.1,3.1,2.87,2.2
I1,2001-12-23,Milan,Verona,2,1,H,0,0,D,1.36,3.85,8.2,1.5,3.5,5.4,1.33,4.0,8.0,1.4,3.75,7.5,1.36,3.75,8.0,1.4,3.75,7.0
I1,2001-12-23,Parma,Fiorentina,2,0,H,0,0,D,1.75,3.15,4.4,1.75,3.2,4.0,1.73,3.2,4.33,1.75,3.1,4.33,1.8,3.1,4.0,1.72,3.2,4.33
I1,2001-12-23,Perugia,Atalanta,2,0,H,0,0,D,2.1,3.0,3.25,2.2,2.9,3.0,2.2,3.0,3.0,2.05,2.88,3.5,,,,2.1,2.9,3.25
